Nome;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100;2101;2102;2103;2104;2105;2106;2107;2108;2109;2110;2111;2112;2113;2114;2115;2116;2117;2118;2119;2120;2121;2122;2123;2124;2125;2126;2127;2128;2129;2130;2131;2132;2133;2134;2135;2136;2137;2138;2139;2140;2141;2142;2143;2144;2145;2146;2147;2148;2149;2150;2151;2152;2153;2154;2155;2156;2157;2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169;2170;2171;2172;2173;2174;2175;2176;2177;2178;2179;2180;2181;2182;2183;2184
01/08/2015;576.5630048;606.1140716;574.3044925;693.8052754;639.86;640.1207455;502.9167347;654.3260016;677.9489292;630.1349593;620.5723794;610.1918506;561.7011494;521.4499136;570.201581;572.2446982;637.7528548;603.5373609;575.9552239;496.862969;673.0519263;703.5084746;622.8920226;607.1910204;578.4532554;594.472155;655.8346121;576.9697693;765.0537084;753.6986301;620.9783514;565.1519525;551.8572594;521.996916;518.0095465;646.8367347;610.1438965;596.3762765;571.8522538;624.9056143;743.8574879;557.4125596;470.7286512;597.6294166;584.7809847;598.441249;567.4799345;660.9369885;591.1108453;639.5016287;462.4827586;514.5455342;490.7972244;697.7632479;552.6674473;485.9051095;531.0072698;503.7427626;489.3968903;563.9853539;646.1636364;667.2360999;568.6395257;556.5768283;530.5715467;786.4332016;566.9383617;792.9868637;525.2853755;626.5853061;808.8230958;544.4684543;796.1733668;851.5375204;803.5440067;599.7079935;644.8384555;624.3912019;651.1183673;699.646559;809.8881579;739.1885057;540.5201005;782.0295082;771.1579779;684.5727924;720.4410617;625.2390966;773.7523077;728.1697959;710.3060729;728.2004773;803.4093567;831.4416327;781.3202726;840.9086651;885.2112554;695.3908241;653.7053061;760.5692175;666.9214162;586.8927142;692.5144748;674.8232522;631.5890968;689.282449;873.7905138;785.7271215;858.1027165;560.0023401;497.4579592;623.091273;669.1257051;493.5782644;584.2032653;633.0008403;563.314376;557.7590946;573.7420965;568.5647789;610.2267303;650.5632653;594.3060109;567.1405152;556.7624683;640.8881686;583.1590164;637.4835255;539.8615123;551.6563246;565.3517787;560.767461;575.9677419;696.3081494;548.6689304;554.9057471;470.3149798;562.2333874;552.4168081;595.0808163;511.8785047;633.4765314;557.7763819;617.9382609;572.4898132;501.8175842;541.1594324;497.8980424;556.3738318;578.3159558;496.2122762;595.2815126;530.1503698;521.9251472;595.7297508;554.1680261;542.2957634;584.0692821;595.9268694;589.8548124;549.200493;544.7727652;569.8563265;517.4579592;600.242141;610.3107667;498.6921141;560.0423108;502.074199;567.2232598;595.4980237;531.3489461;536.1372706;590.8237154;507.3376309;548.028103;560.2042139;491.2732607;622.8620143;497.6442464;615.7174781;533.8408129;653.6652789;571.2220367;617.5855211
01/08/2015;572.0936995;604.0541216;568.2196339;693.7230411;634.5024;635.0769854;507.995102;657.3912019;677.1663921;637.4674797;621.8460899;612.7988115;552.5402299;526.2262522;569.0909091;569.9331158;637.7593801;602.990461;566.6582875;486.091354;674.3098827;697.920339;620.6921837;614.0391837;576.3564274;595.740113;649.2131287;581.4120923;752.3069054;756.747784;619.5695254;569.4864177;547.4902121;523.7178103;519.3198091;658.3289796;599.2077607;591.3534957;577.6602671;623.9389748;747.0064412;559.0468998;473.5881883;603.8964667;580.5704584;595.8685292;562.045864;653.4435352;588.5717703;632.2931596;465.8819923;514.3038529;492.3014649;686.4871795;546.5620609;480.2919708;529.3739903;504.4284533;487.0613748;550.8803906;642.5715415;669.6357776;561.9470356;563.5168447;534.8172043;794.6703557;554.2587186;794.9786535;517.7438735;619.7510204;793.5356265;556.6293375;790.6465662;845.6207178;812.1341157;608.4869494;649.3766745;623.8531029;647;691.1495327;821.6809211;742.2383142;535.3417085;781.2721311;777.8254344;685.9713604;721.1873536;629.4353583;777.1507692;728.8955102;697.6639676;718.5807478;796.4202172;831.9289796;783.8994889;839.0031226;869.7333333;697.5836873;631.5518367;761.5674979;674.2271157;593.4323459;681.0901572;694.8350353;643.6013019;660.6097959;840.6403162;787.8502496;856.6935484;564.8705148;503.2432653;613.3202562;660.1966156;481.9067315;572.0465306;643.0344538;571.8396524;559.1325788;558.6896839;557.2847168;604.2155927;655.7387755;609.7330211;569.2880562;552.1749789;631.7123177;586.2745902;634.214168;535.8683093;531.7661098;563.7351779;567.6023007;579.9295416;673.3573854;565.5865874;542.3992337;470.0323887;551.732577;558.3089983;588.2310204;512.8300765;638.1917263;560.4145729;619.8495652;564.8022071;505.94659;536.6861436;503.0130506;557.4638912;574.1729858;491.6163683;601.5243697;539.251438;521.3103448;590.0404984;547.9665579;533.8665068;581.466611;593.7066557;592.9388254;554.5710764;537.1829574;566.0677551;510.877551;607.0093458;608.6019576;488.9337248;558.9707079;509.9865093;567.3633277;598.9960474;537.4332553;531.5363128;572.5003953;505.1112006;556.2833724;558.439222;498.8290025;607.5130849;501.9789303;614.6703911;527.9043184;636.4104913;582.0500835;621.7136038
11/08/2015;568.6550889;582.0566195;550.3094842;679.1916214;615.884;585.0453809;475.1110204;640.427337;658.5807249;611.7894309;567.8793677;600.2979626;520.9244663;513.6735751;547.3660079;545.9241436;608.7699837;595.100159;537.316575;463.7463295;650.6616415;664.509322;596.1498791;584.5371429;540.533389;556.4430993;628.7766411;543.5775656;749.5345269;737.7671233;607.9675271;554.2606112;520.2275693;524.1757903;512.6292761;640.2122449;583.7445432;564.0722702;556.9791319;616.7347437;743.1111111;555.1677266;466.3423783;566.8866064;572.6646859;602.957272;546.03276;617.2684124;580.4409888;596.1783388;441.3977011;490.9404553;458.692367;668.9384615;553.5932865;460.7777778;510.361874;489.3995037;483.4165303;548.6314076;626.2110672;659.6043513;546.2885375;533.8603122;503.2588916;774.6940711;550.4987835;777.2619048;501.9604743;612.1918367;758.8705979;528.8596215;786.5092127;837.6867863;785.3939648;584.2773246;622.3120567;693.051846;687.0538776;684.2812234;782.6085526;727.4735632;511.8056951;761.2090164;756.7409163;668.7677009;707.7564403;614.911215;777.7576923;707.077551;664.9489879;711.5115354;794.1261487;816.4906122;771.0758092;834.6939891;860.6709957;683.8912489;621.7330612;751.0619089;651.8998273;550.0232186;678.1124897;651.7659073;608.8893409;712.7371429;861.6300395;776.9242928;830.8217317;543.6918877;481.9420408;612.77502;647.3142627;474.9221411;569.0889796;619.9504202;553.0647709;541.0282943;567.9866889;548.5500388;582.5306285;637.4489796;575.6775956;548.1373927;532.7083686;621.6815235;549.3155738;618.3187809;536.8045879;533.681782;539.6948617;549.5439606;586.4872666;668.491511;530.3293718;530.4030651;446.417004;552.4886548;536.5840407;576.6318367;499.9430756;634.3754972;526.8056951;617.1165217;558.901528;474.6721446;533.4398998;493.5905383;543.3279524;576.1903633;473.8286445;581.6193277;516.7871816;502.7771236;578.0786604;531.4714519;538.1630695;583.812187;583.2391126;582.088907;527.2818406;539.1052632;557.6514286;495.3371429;580.7536109;589.8907015;486.9706376;558.549227;482.4679595;552.3022071;583.0055336;524.0952381;518.0678372;579.7652174;485.7389202;529.1249024;524.9991896;469.7996647;597.333069;479.8946515;601.3296089;530.3480102;650.5595337;552.2445743;614.8329356
11/08/2015;576.7140549;585.1648626;545.9642263;660.1807603;620.7584;563.7658023;489.2383673;612.3456402;627.3031301;624.9682927;584.4384359;610.0382003;534.5853859;488.3013817;565.5936759;537.7226754;599.1052202;643.5898251;538.8350353;493.8393148;643.1281407;644.5161017;579.8847703;577.0440816;543.5025042;565.3292978;642.5882353;561.3110581;744.9607843;727.439162;598.1665279;566.7181664;518.2487765;534.7185813;489.3349244;594.5338776;577.9005659;545.3071485;547.4148581;632.5638731;744.2898551;568.4141494;466.849162;482.8069022;541.6960951;577.36894;538.3333333;626.5785597;576.6547049;566.1482085;444.9877395;538.4089317;479.5481881;662.757265;567.6221702;470.8345499;506.3812601;505.4929694;518.0924714;528.6175753;632.4411067;697.3102337;524.9905138;478.1939195;480.0711332;750.1968379;564.2716951;795.2586207;494.7201581;601.9730612;721.047502;490.2641956;789.6943049;843.7145188;796.7476949;599.9127243;616.9858156;673.3613511;688.1844898;648.6210705;784.6455592;761.3425287;524.3567839;775.8180328;787.1532385;681.3556086;738.843872;622.3613707;793.8453846;741.0636735;640.4080972;717.9379475;790.1562239;841.1559184;794.1626917;862.9211553;818.9878788;693.1588785;596.0106122;746.8409286;673.2029361;575.8182546;660.5690653;701.90652;623.2310822;655.2497959;807.4901186;764.5599002;832.6434635;556.0358814;487.9795918;589.253803;637.8412571;457.7769667;548.1616327;632.8142857;569.4091627;545.0185934;521.4284526;532.295578;577.3603819;653.1126531;609.5191257;555.2287276;522.5164835;599.197731;584.6795082;620.4085667;531.6525064;487.7438345;543.0150198;560.2867707;589.2495756;657.2088285;548.1629881;511.0804598;450.7465587;523.6790924;534.3981324;543.3265306;504.9354291;627.9220366;569.0988275;631.7173913;545.8743633;503.2695152;515.0901503;497.088907;546.0892099;567.007109;478.0213129;580.3394958;535.4354971;520.8494533;588.5366044;528.1998369;504.6354916;577.2921536;591.3467543;594.2300163;545.400986;517.4828739;557.0310204;491.4726531;593.0552251;601.9706362;468.6736577;558.0561432;501.4114671;571.8480475;590.4403162;531.7259953;508.1636073;548.4529644;483.8122482;557.4886807;534.5518639;500.9119866;595.0396511;516.534846;596.9632881;526.1685013;626.4612823;576.9549249;603.372315
08/01/2016;846.4959612;729.7901749;699.9950083;787.5283165;707.5056;744.828201;669.6604082;789.7242734;766.2611203;678.6894309;681.1106489;756.0602716;693.1428571;755.2227979;684.2695652;677.1101142;664.7650897;678.1685215;745.1696779;744.141925;732.278057;783.8966102;762.6075745;722.6816327;723.7429048;733.3389831;812.859335;666.9140811;801.7953964;830.4770346;750.8168193;712.4219015;763.9437194;784.5265998;736.1662689;794.2171429;778.0371867;777.0282797;771.927379;724.100895;808.1795491;779.7027027;690.2561852;748.010682;824.9006791;805.0912079;774.3095823;720.2913257;763.8277512;704.6921824;695.1402299;700.6917688;708.2166538;791.5675214;801.2896175;717.6650446;728.9838449;745.2315964;770.1104746;807.721725;753.3011858;763.1103948;713.4608696;734.3196385;731.1670802;822.5604743;785.2019465;840.1699507;675.4181818;759.9102041;772.5446355;726.5047319;817.5159129;858.08646;872.8063705;870.2854812;834.0118203;739.4139827;710.3697959;735.6983857;721.53125;831.4988506;704.4899497;845.0647541;793.1421801;761.4980111;788.0163934;756.8309969;803.5023077;828.1869388;772.9012146;818.6022275;827.342523;848.2383673;829.7120954;858.9375488;895.6155844;797.7383178;787.5036735;831.3740327;813.1502591;779.9479584;825.5103391;828.221524;812.7371847;769.8171429;774.4110672;748.6148087;766.3013582;737.774571;737.7567347;732.5268215;783.2965351;671.1922141;743.082449;778.6033613;772.9905213;706.8447858;742.8993344;768.4259116;763.5298329;784.7844898;739.9281811;739.4543326;712.4530854;740.1053485;743.4163934;733.6392092;799.9838573;736.4081146;760.6173913;828.673788;747.0195246;785.6918506;742.1714771;739.5900383;714.3004049;744.3200972;737.1129032;729.2057143;687.7663551;785.681782;803.8299832;809.2234783;704.3896435;788.6179129;808.0617696;743.4241436;831.3024639;806.3870458;727.0792839;744.2722689;775.4420707;765.9074853;848.0350467;766.0905383;715.0991207;779.4106845;780.2703369;779.9861338;749.8373048;722.3517126;794.3167347;741.4146939;761.1129992;747.4412724;750.8112416;801.3824247;761.7478921;781.6994907;809.4616601;719.9336456;706.2657622;758.3067194;732.0966962;711.7416081;716.8427877;747.6923722;779.6153846;722.9829822;684.8786911;752.7451312;753.0374688;722.0100167;845.1296738
07/04/2016;610.996769;609.7352206;529.4941764;667.6128782;586.7784;602.9141005;540.3469388;644.2317361;642.6235585;590.5520325;587.5881864;643.9847199;540.2676519;550.470639;546.8442688;535.0016313;583.7969005;580.2019078;552.6378633;492.4159869;640.9740369;622.4127119;585.44722;616.6;546.409015;589.3575464;627.4876385;554.3253779;672.8115942;722.4399678;579.6552873;578.0050934;566.12969;573.1688512;544.9212411;682.2759184;552.8399353;581.9780047;593.4941569;595.4369406;727.3397746;581.9467409;504.0638468;593.9506984;584.5483871;597.4601479;570.8484848;572.9754501;575.7033493;563.0374593;503.2942529;522.5525394;525.1464919;623.8897436;560.2763466;489.9626926;548.7633279;577.6377171;539.7438625;564.0903173;602.7573123;646.3553586;539.398419;577.1503698;560.9983457;746.4743083;552.9529603;736.0615764;487.0395257;582.2897959;682.6543817;587.2586751;712.1549414;735.2292007;757.6035205;666.1916803;662.2931442;664.0769835;631.9257143;641.2897196;671.4745066;722.9172414;504.458124;739.4729508;715.1066351;647.6475736;694.8782201;607.521028;705.2553846;688.9404082;624.8477733;673.043755;723.4761905;771.1142857;730.3168654;767.726776;758.6735931;673.8581138;597.0726531;693.9019776;658.1062176;603.3634908;672.7998346;703.9418696;651.007323;618.5542857;709.9391304;701.531614;718.5297114;539.525741;516.9314286;596.5908727;619.361805;470.1646391;549.0595918;624.9714286;563.6990521;541.9369442;523.5923461;542.6485648;562.6499602;628.7420408;585.5565964;564.7119438;539.9983094;597.2179903;550.9032787;613.0280066;567.4180119;555.4661893;583.8213439;634.4650781;642.8132428;611.4066214;558.9685908;546.262069;524.5530364;561.7382496;556.1222411;550.0057143;547.2761257;651.0477327;576.6097152;611.7913043;539.2572156;545.6729663;564.0100167;563.8866232;605.4953271;591.3270142;520.2514919;587.0521008;570.0238291;540.5189235;600.1760125;538.908646;554.4740208;582.3580968;573.8438784;610.5391517;584.6910435;522.0401003;559.2302041;531.2506122;599.0807137;573.276509;547.6300336;605.6224573;567.5387858;584.3336163;599.4205534;577.442623;528.245012;562.5130435;521.3037873;532.6932084;542.6450567;549.5213747;560.0245837;519.3249595;557.8667199;549.3886537;636.5478768;587.884808;673.5743835
15/08/2016;688.5096931;665.3505412;787.7104825;624.9348332;580.4384;597.1969206;489.9706122;538.0102121;654.3789127;558.8552846;696.7620632;727.0602716;488.3333333;826.9188256;598.770751;570.7569331;539.2022838;684.3736089;502.4736842;756.4559543;643.8458961;635.4101695;572.9605157;521.7526531;446.4298831;486.5310734;742.8047741;587.7223548;840.4117647;812.8388396;727.4079933;619.3633277;698.3336052;520.1156515;516.0127287;687.7436735;694.1422797;627.8161822;698.6327212;729.4304312;812.0877617;666.8807631;582.1388667;645.2374692;509.934635;588.5834018;702.3677314;728.3805237;725.9593301;720.9625407;582.7095785;547.4273205;625.4410177;793.4641026;701.2896175;651.2303325;549.8966074;626.4863524;576.8837971;586.8828316;694.4071146;781.1369863;632.5810277;572.5061627;612.2696443;844.3075099;715.6301703;881.7151067;648.4055336;787.5444898;781.7780508;632.4842271;805.6775544;880.0424144;721.7041073;611.7553018;539.0409771;732.4430479;667.5191837;673.0807137;752.8601974;772.1517241;551.3442211;772.8786885;810.9897314;655.9347653;644.2958626;655.2819315;834.2130769;797.0310204;608.0291498;690.6507558;885.2748538;733.7363265;823.572402;754.1928181;872.8779221;786.4384027;707.4832653;839.3637145;750.3186528;634.9367494;761.3945409;745.9049489;657.5524817;762.9763265;814.4687747;755.5207987;823.844652;643.7472699;577.9983673;676.8999199;724.5068493;567.512571;651.3959184;727.5277311;653.3744076;651.7978981;639.202995;653.4794414;677.043755;738.1485714;686.2295082;654.3505074;636.183432;709.1523501;656.1327869;715.490939;631.2633815;616.5704057;654.286166;678.2563681;661.5305603;774.0195246;641.1714771;627.2390805;553.7651822;645.7747164;633.0169779;663.0163265;603.6593033;724.9411297;641.4941374;710.4347826;635.5840407;584.9630238;624.1076795;604.4486134;657.4808836;677.8238547;584.3111679;675.0302521;632.5834018;623.3380992;678.6806854;628.6835237;628.9568345;667.3597663;676.4741167;684.3083197;639.7921118;632.5931495;658.4408163;602.6922449;690.4740867;702.3001631;583.2860738;641.2587469;612.6214165;651.917657;681.6;632.5800156;611.7956903;650.0237154;604.0410959;637.1030445;628.4092382;602.1944677;661.2268041;606.3711507;665.557063;626.9517358;713.7593672;656.7746244;664.7120127
23/12/2016;891.7439418;716.3147377;719.484193;804.3855702;700.6872;763.5940032;659.757551;805.8318932;774.5345964;672.8414634;675.6797005;750.0237691;716.5361248;769.425734;665.6577075;674.0538336;642.591354;663.363275;762.8821681;803.5285481;745.2001675;773.0050847;806.264303;710.3142857;711.927379;753.5899919;856.7885763;684.5648369;869.3435635;886.6019339;771.4796003;753.5764007;818.9298532;843.692367;766.4168656;806.4383673;835.6459175;827.505106;802.5784641;783.7323027;863.2512077;832.8290938;740.8100559;765.2966311;887.0016978;857.1117502;828.3169533;782.9558101;807.0263158;740.1506515;753.3471264;731.4474606;744.4340786;862.4700855;863.5191257;780.8450933;799.5928918;784.2216708;850.1783961;866.46786;793.2150198;813.272361;763.2079051;742.6187346;769.6765922;861.6071146;843.0186537;889.8029557;751.4758893;831.882449;829.2866503;758.8643533;876.1641541;890.3433931;917.6554904;906.2634584;866.3073286;721.8578162;710.9657143;753.5641461;733.7615132;855.1149425;732.8743719;863.2745902;832.3562401;797.8249801;830.587822;776.3037383;829.1984615;848.6677551;795.9676113;846.5958632;848.9640769;872.8473469;852.9327087;911.6448087;914.417316;811.8054376;800.9804082;836.7368874;831.7107081;786.0568455;840.6062862;848.0164965;832.3832384;766.7869388;771.1288538;748.5690516;778.0449915;762.7028081;774.3126531;740.1152922;814.89444;677.4249797;769.2546939;807.2277311;804.7567141;732.9280517;788.609817;795.1908456;815.7939539;809.9502041;772.2068696;770.5214676;762.4142012;793.9408428;789.8737705;753.6054366;820.0016992;769.3460621;785.941502;837.735415;780.2911715;833.9227504;799.4728353;736.0022989;759.4834008;743.6158833;749.3828523;787.4587755;705.8232795;793.2561655;806.1842546;830.1026087;753.786927;814.3352506;829.6010017;775.5424144;846.7255735;828.1966825;763.9011083;792.1932773;789.6606409;800.68545;871.7943925;800.2438825;730.8265388;797.1168614;817.3459326;809.9323002;760.6787182;772.0175439;835.637551;763.4783673;795.1546304;787.5954323;764.5260067;827.9528072;767.5708263;818.483871;836.4213439;737.2279469;731.4724661;771.2632411;762.5205479;743.2771272;758.1993517;781.7326069;823.4845361;754.1580227;750.4269753;769.7857748;775.4321399;742.3397329;880.58393
21/02/2017;811.0105008;725.1448793;683.562396;800.587277;696.4912;743.1636953;627.4171429;786.1759623;776.2817133;676.0544715;677.5058236;769.6443124;665.8899836;720.351468;669.9003953;637.4608483;651.7300163;691.6740859;732.5019639;714.0799347;750.2537688;750.8076271;747.3473006;700.8489796;683.8914858;713.6020985;799.6496164;651.0708035;839.6487639;834.2949234;761.0174854;681.0322581;735.7153344;763.8311488;475.8289578;784.9910204;772.1430881;761.5585232;758.7846411;731.8502848;841.0853462;769.3481717;658.1396648;702.5538209;788.9847199;803.3212818;756.3005733;731.2111293;760.5183413;700.5700326;647.6574713;701.3633975;678.6530455;807.7991453;777.6775956;693.1427413;721.6453958;709.7038875;739.2283142;760.6159479;742.2727273;766.0523771;679.9462451;708.5932621;704.3176179;854.1968379;761.4898621;877.5960591;653.5810277;762.1910204;803.4840295;699.3801262;874.0502513;873.1696574;914.9388097;788.1272431;764.7415288;773.4304792;753.0734694;772.017842;836.8256579;902.8528736;697.4455611;862.4655738;846.314376;783.982498;822.5612802;768.2577882;863.3346154;869.9297959;790.3198381;826.4836913;877.5697577;897.5869388;870.9165247;910.6487119;951.0450216;840.3806287;824.1665306;858.1298366;849.5587219;818.367494;855.7493797;871.1264729;837.0317331;797.635102;890.1905138;893.28203;868.9159593;750.3034321;756.2987755;741.928743;813.9758259;665.9480941;755.2710204;811.0109244;790.492891;739.9458367;744.7096506;768.8983708;801.531424;808.1355102;780.2677596;767.3395785;714.2975486;759.0883306;776.3188525;773.0197694;814.7459643;745.7008751;778.2932806;831.588332;764.6358234;827.8166384;758.9762309;755.364751;687.8412955;759.9076175;757.5365025;745.0310204;721.9498726;797.9403341;813.3140704;842.2556522;743.5755518;788.2136401;818.4774624;732.9706362;771.8173322;809.1690363;759.1636829;668.4403361;803.9580937;784.5576114;799.9493769;783.4420881;743.6035172;823.3071786;827.6672145;800.2618271;767.7296631;703.5689223;815.2326531;764.9012245;583.0824129;585.4690049;745.2768456;847.5028478;793.1298482;813.0076401;848.3620553;746.7252147;702.9608939;798.1343874;761.3650282;741.5644028;741.6418152;778.3067896;798.4837431;700.8525122;732.8196329;795.8577477;826.8842631;808.5183639;885.566428
